the,7272
of,4279
to,3718
and,2582
a,2407
in,2321
is,1758
that,1674
for,1113
are,1046
be,957
on,883
as,841
it,773
have,712
s,702
with,684
by,675
not,646
from,528
their,527
or,493
they,463
has,446
more,445
can,445
an,438
at,436
was,426
you,416
will,393
one,371
which,332
your,330
his,326
should,324
all,312
we,311
he,310
than,308
but,307
people,288
been,288
this,282
its,277
about,271
would,262
who,256
there,249
what,239
were,238
so,237
may,237
new,227
points,226
following,224
into,220
most,216
no,214
had,212
some,207
other,205
if,203
do,203
up,199
out,199
our,192
only,191
each,189
when,186
much,181
t,180
many,178
time,174
such,173
them,171
work,147
years,146
world,143
these,141
now,141
because,141
social,138
how,138
best,137
even,136
could,132
life,129
first,127
over,126
must,125
author,124
make,122
way,121
being,117
well,114
those,114
also,114
use,112
text,111
information,111
any,111
take,108
two,107
four,106
long,105
research,104
children,104
like,103
between,103
her,102
passage,99
own,99
before,99
through,98
less,97
last,97
too,96
human,95
very,94
then,94
just,91
job,91
still,90
words,89
questions,89
education,88
sentence,87
good,87
often,86
off,86
might,86
year,85
us,85
society,85
says,85
answer,85
where,83
business,83
public,81
without,80
science,80
made,80
does,80
become,80
part,79
number,79
man,79
write,78
same,78
different,76
after,76
today,75
need,75
given,74
change,74
sentences,73
great,73
used,72
means,72
few,72
system,71
important,71
him,71
get,71
find,71
things,70
scientific,70
letter,70
economic,70
want,68
question,68
example,68
end,68
word,67
three,67
read,67
against,67
women,66
process,66
law,66
language,66
down,66
answers,66
century,65
since,64
rather,64
put,64
help,64
study,63
she,62
say,62
making,62
give,62
come,62
both,62
always,62
place,61
go,61
large,60
high,60
certain,60
carefully,60
better,60
below,60
think,59
family,59
another,59
know,58
look,57
longer,57
little,57
don,57
past,56
paragraph,56
keep,56
idea,56
however,56
growth,56
found,56
culture,56
choices,56
thought,55
see,55
scientists,55
problems,55
marked,55
far,55
fact,55
did,55
company,55
child,55
state,54
probably,54
men,54
likely,54
said,53
my,53
industry,53
having,53
brackets,53
while,52
true,52
right,52
possible,52
parts,52
others,52
never,52
future,52
changes,52
back,52
among,52
test,51
seems,51
old,51
government,51
countries,51
companies,51
effect,50
underlined,49
theory,49
show,49
health,49
development,49
case,49
around,49
though,48
numbered,48
meaning,48
early,48
day,48
data,48
based,48
technology,47
result,47
once,47
mark,47
least,47
country,47
young,46
written,46
something,46
school,46
political,46
choose,46
view,45
themselves,45
pay,45
media,45
lost,45
learn,45
kind,45
going,45
students,44
role,44
reason,44
rate,44
influence,44
enough,44
behavior,44
ago,44
why,43
whether,43
until,43
support,43
small,43
results,43
modern,43
mind,43
market,43
individual,43
history,43
every,43
essay,43
corresponding,43
common,43
attention,43
age,43
working,42
power,42
person,42
money,42
live,42
choice,42
blackening,42
times,41
seem,41
population,41
percent,41
living,41
increase,41
federal,41
yet,40
states,40
makes,40
knowledge,40
instead,40
feel,40
according,40
value,39
researchers,39
price,39
period,39
ideas,39
food,39
control,39
book,39
believe,39
ability,39
workers,38
under,38
taken,38
set,38
problem,38
natural,38
music,38
legal,38
jobs,38
interest,38
including,38
economy,38
consumers,38
away,38
animals,38
sense,37
rights,37
national,37
left,37
intellectual,37
half,37
growing,37
environment,37
during,37
difficult,37
course,37
cost,37
whose,36
point,36
me,36
intelligence,36
cities,36
car,36
able,36
ways,35
water,35
turn,35
tend,35
recent,35
provide,35
professional,35
present,35
major,35
line,35
kinds,35
home,35
hard,35
financial,35
explain,35
evidence,35
costs,35
considered,35
clearly,35
blank,35
anything,35
within,34
start,34
situation,34
schools,34
report,34
neatly,34
form,34
ever,34
especially,34
basic,34
almost,34
stress,33
prices,33
necessary,33
nature,33
name,33
million,33
international,33
hear,33
greater,33
foreign,33
essential,33
earth,33
conditions,33
care,33
attitude,33
areas,33
usually,32
understand,32
subject,32
services,32
search,32
really,32
personal,32
passages,32
order,32
next,32
needs,32
matter,32
importance,32
generally,32
general,32
court,32
community,32
clear,32
available,32
translate,31
thinking,31
reading,31
products,31
pressure,31
pencil,31
moral,31
medical,31
lives,31
industrial,31
came,31
buy,31
brain,31
big,31
together,30
takes,30
suggests,30
status,30
seen,30
patent,30
particular,30
mean,30
improve,30
humans,30
group,30
drawing,30
done,30
decline,30
days,30
bring,30
average,30
already,30
towards,29
strong,29
several,29
required,29
perhaps,29
parents,29
online,29
known,29
got,29
families,29
develop,29
became,29
bad,29
asked,29
animal,29
whole,28
translation,28
training,28
television,28
produce,28
paper,28
loss,28
later,28
lack,28
itself,28
increasing,28
increased,28
higher,28
followed,28
doing,28
customers,28
choosing,28
changed,28
brought,28
upon,27
sure,27
real,27
productivity,27
potential,27
oil,27
offer,27
nothing,27
needed,27
mainly,27
limited,27
learning,27
learned,27
late,27
issue,27
hardly,27
hand,27
else,27
complete,27
competition,27
city,27
capacity,27
tests,26
species,26
simply,26
shows,26
return,26
production,26
outside,26
ones,26
news,26
intended,26
getting,26
fit,26
fashion,26
experience,26
create,26
compared,26
cause,26
body,26
